ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-15 21:02:56,1.0,0.9999999987237443,1.0000000012861336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:05:21,1.0,0.9999999987332062,1.000000001285657,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:06:07,1.0,0.9999999986253463,1.000000001245836,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:08:45,1.0,0.999999998719313,1.0000000012914243,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:12:06,1.0,0.9999999987717327,1.0000000013599533,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:28:32,1.0,0.9999999987370791,1.0000000013137105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:28:43,1.0,0.9999999987251862,1.0000000013850132,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:32:04,1.0,0.999999998732094,1.000000001245906,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:35:02,1.0,0.999999998783613,1.0000000012557324,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:35:50,1.0,0.9999999986788953,1.000000001303149,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:42:18,1.0,0.9999999987079788,1.0000000012913743,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:44:29,1.0,0.9999999986540661,1.0000000012705175,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:44:55,1.0,0.9999999987231618,1.0000000012626051,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:46:36,1.0,0.9999999988077223,1.0000000012936452,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:53:37,1.0,0.9999999987250006,1.0000000013698829,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:55:50,1.0,0.9999999987685065,1.0000000013185604,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 21:56:33,1.0,0.9999999986831202,1.0000000013111956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
